"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FuelLevel"|"F"|0|100|5,"OilTemp"|"F"|0.0|300.0|5,"CoolantPressPSI"|"PSI"|0.0|20.0|5,"Coolant"|"F"|0.0|300.0|5,"OilPress"|"PSI"|0|150|10,"EngineTemp"|"F"|0.0|300.0|5,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"RPM"|""|0|10000|50,"Driveshaft"|"RPM"|0|5000|50,"GearRatio"|""|-5.0|5.0|10,"Gear"|""|-1|5|10,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"MPH"|0.0|150.0|10,"Distance"|"Miles"|0.0|0.0|10,"Altitude"|"Feet"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
551528,1480295093926,,,,,0,,,-0.05,0.1,0.99,-3.1,0.4,0.3,160,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,,0.0,0
551548,1480295093946,,,,,,,,-0.05,0.1,1.0,-3.2,0.4,0.4,160,0,,,,,,,,,,,,,,,,,
551568,1480295093966,,,,,,,,-0.05,0.1,0.99,-3.1,0.4,0.4,160,0,,,,,,,,,,,,,,,,,
551588,1480295093995,,,,,,,,-0.06,0.09,0.99,-3.1,0.4,0.3,160,0,,,,,,,,,,,,,,,,,
551608,1480295094015,,,,,,,,-0.06,0.09,1.0,-3.1,0.4,0.3,160,0,,,,,,,,,,,,,,,,,
551628,1480295094035,0,49.7,0.0,46.9,0,48.5,10.51,-0.05,0.1,1.0,-3.1,0.5,0.4,160,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
551648,1480295094055,,,,,,,,-0.05,0.1,1.0,-3.2,0.5,0.4,160,0,,,,,,,,,,,,,,,,,
551668,1480295094075,,,,,,,,-0.05,0.09,1.01,-3.2,0.4,0.4,160,0,,,,,,,,,,,,,,,,,
551688,1480295094095,,,,,,,,-0.06,0.09,1.0,-3.2,0.5,0.4,160,0,,,,,,,,,,,,,,,,,
551708,1480295094115,,,,,,,,-0.06,0.09,1.0,-3.1,0.6,0.4,160,0,,,,,,,,,,,,,,,,,
551728,1480295094135,,,,,0,,,-0.06,0.08,0.99,-3.1,0.6,0.4,160,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,,0.0,0
551748,1480295094155,,,,,,,,-0.05,0.09,0.99,-3.2,0.6,0.5,160,0,,,,,,,,,,,,,,,,,
551768,1480295094175,,,,,,,,-0.05,0.1,0.99,-3.2,0.6,0.5,160,0,,,,,,,,,,,,,,,,,
551788,1480295094195,,,,,,,,-0.05,0.09,1.0,-3.2,0.6,0.5,160,0,,,,,,,,,,,,,,,,,
551808,1480295094215,,,,,,,,-0.05,0.09,1.0,-3.2,0.6,0.5,160,0,,,,,,,,,,,,,,,,,
551828,1480295094235,0,49.1,0.0,46.7,1,48.4,,-0.06,0.09,1.0,-3.2,0.6,0.4,160,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
551848,1480295094255,,,,,,,,-0.06,0.09,1.0,-3.2,0.7,0.4,160,0,,,,,,,,,,,,,,,,,
551868,1480295094275,,,,,,,,-0.05,0.1,1.0,-3.2,0.8,0.5,160,0,,,,,,,,,,,,,,,,,
551888,1480295094295,,,,,,,,-0.05,0.1,1.01,-3.2,0.8,0.6,160,0,,,,,,,,,,,,,,,,,
551908,1480295094315,,,,,,,,-0.05,0.1,1.01,-3.2,0.7,0.6,160,0,,,,,,,,,,,,,,,,,
551928,1480295094335,,,,,0,,,-0.06,0.1,1.01,-3.3,0.6,0.5,160,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,,0.0,0
551948,1480295094355,,,,,,,,-0.06,0.09,1.01,-3.2,0.7,0.5,160,33,,,,,,,,,,,,,,,,,
551968,1480295094375,,,,,,,,-0.06,0.09,1.01,-3.2,0.7,0.5,160,33,,,,,,,,,,,,,,,,,
551988,1480295094494,,,,,,,,-0.06,0.09,1.01,-3.2,0.8,0.5,160,1538461,,,,,,,,,,,,,,,,,
552008,1480295094514,,,,,,,,-0.05,0.08,1.01,-3.2,0.8,0.5,160,0,,,,,,,,,,,,,,,,,
552028,1480295094534,0,49.6,0.1,48.5,0,50.5,,-0.05,0.08,1.01,-3.2,0.8,0.4,160,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
552048,1480295094554,,,,,,,,-0.06,0.08,1.01,-3.2,0.7,0.4,140,0,,,,,,,,,,,,,,,,,
552068,1480295094574,,,,,,,,-0.06,0.08,1.01,-3.2,0.7,0.3,140,0,,,,,,,,,,,,,,,,,
552088,1480295094594,,,,,,,,-0.06,0.08,1.01,-3.2,0.7,0.3,140,0,,,,,,,,,,,,,,,,,
552108,1480295094614,,,,,,,,-0.06,0.08,1.0,-3.1,0.6,0.3,140,0,,,,,,,,,,,,,,,,,
552128,1480295094634,,,,,0,,,-0.05,0.08,1.0,-3.2,0.6,0.3,140,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,,0.0,0
552148,1480295094654,,,,,,,,-0.05,0.08,1.0,-3.2,0.6,0.3,140,0,,,,,,,,,,,,,,,,,
552168,1480295094674,,,,,,,,-0.05,0.07,1.0,-3.2,0.6,0.3,140,0,,,,,,,,,,,,,,,,,
552188,1480295094594,,,,,,,,-0.05,0.07,1.0,-3.1,0.6,0.3,10000000,0,,,,,,,,,,,,,,,,,
552208,1480295094614,,,,,,,,-0.05,0.07,1.0,-3.1,0.6,0.2,0,0,,,,,,,,,,,,,,,,,
552228,1480295094634,0,50.3,0.34,48.5,0,50.3,,-0.05,0.07,0.99,-3.1,0.6,0.3,0,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
552248,1480295094654,,,,,,,,-0.05,0.07,0.99,-3.1,0.6,0.3,0,0,,,,,,,,,,,,,,,,,
552268,1480295094674,,,,,,,,-0.05,0.07,0.99,-3.1,0.6,0.3,0,0,,,,,,,,,,,,,,,,,
552288,1480295094695,,,,,,,,-0.05,0.07,0.99,-3.1,0.5,0.3,0,0,,,,,,,,,,,,,,,,,
552308,1480295094715,,,,,,,,-0.05,0.07,0.99,-3.1,0.5,0.2,4480,0,,,,,,,,,,,,,,,,,
552328,1480295094735,,,,,0,,,-0.05,0.07,0.99,-3.1,0.5,0.2,4480,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,,0.0,0
552348,1480295094755,,,,,,,,-0.05,0.07,0.99,-3.1,0.5,0.2,4480,0,,,,,,,,,,,,,,,,,
552368,1480295094775,,,,,,,,-0.05,0.07,0.99,-3.1,0.5,0.2,4480,0,,,,,,,,,,,,,,,,,
552388,1480295094794,,,,,,,,-0.05,0.07,0.99,-3.1,0.5,0.2,4480,0,,,,,,,,,,,,,,,,,
552408,1480295094814,,,,,,,,-0.05,0.07,0.99,-3.1,0.4,0.2,4480,0,,,,,,,,,,,,,,,,,
552428,1480295094834,0,48.2,0.0,45.1,1,46.9,,-0.05,0.07,0.99,-3.1,0.4,0.2,4480,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
552448,1480295094854,,,,,,,,-0.05,0.07,0.99,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552468,1480295094874,,,,,,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552488,1480295094894,,,,,,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552508,1480295094906,,,,,,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552528,1480295094926,,,,,1,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,,0.0,0
552548,1480295094946,,,,,,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552568,1480295094966,,,,,,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552588,1480295094994,,,,,,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552608,1480295095014,,,,,,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552628,1480295095034,0,50.4,0.34,48.1,1,50.0,12.53,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
552648,1480295095054,,,,,,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552668,1480295095074,,,,,,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552688,1480295095095,,,,,,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552708,1480295095115,,,,,,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552728,1480295095135,,,,,0,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,,0.0,0
552748,1480295095155,,,,,,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552768,1480295095175,,,,,,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552788,1480295095294,,,,,,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552808,1480295095314,,,,,,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552828,1480295095334,0,49.6,0.0,46.8,0,48.4,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
552848,1480295095354,,,,,,,,-0.05,0.07,0.99,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552868,1480295095374,,,,,,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552888,1480295095394,,,,,,,,-0.05,0.07,0.99,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552908,1480295095414,,,,,,,,-0.05,0.07,0.99,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552928,1480295095434,,,,,0,,,-0.05,0.07,0.99,-3.1,0.5,0.2,0,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,,0.0,0
552948,1480295095454,,,,,,,,-0.05,0.07,0.99,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552968,1480295095474,,,,,,,,-0.05,0.07,0.99,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
552988,1480295095395,,,,,,,,-0.05,0.07,0.99,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
553008,1480295095415,,,,,,,,-0.05,0.07,0.99,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
553028,1480295095435,0,50.5,0.34,47.9,1,49.5,,-0.04,0.07,0.99,-3.1,0.4,0.2,0,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
553048,1480295095455,,,,,,,,-0.04,0.07,0.99,-3.1,0.4,0.2,0,0,,,,,,,,,,,,,,,,,
553068,1480295095475,,,,,,,,-0.04,0.07,0.99,-3.1,0.4,0.2,0,0,,,,,,,,,,,,,,,,,
553088,1480295095495,,,,,,,,-0.04,0.07,0.99,-3.1,0.4,0.2,0,0,,,,,,,,,,,,,,,,,
553108,1480295095515,,,,,,,,-0.04,0.07,0.99,-3.1,0.4,0.2,0,0,,,,,,,,,,,,,,,,,
553128,1480295095535,,,,,0,,,-0.04,0.07,0.99,-3.1,0.4,0.2,0,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,,0.0,0
553148,1480295095555,,,,,,,,-0.05,0.07,0.99,-3.1,0.4,0.2,0,0,,,,,,,,,,,,,,,,,
553168,1480295095575,,,,,,,,-0.05,0.07,0.99,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
553188,1480295095595,,,,,,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
553208,1480295095615,,,,,,,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
553228,1480295095635,0,49.6,0.2,48.5,0,50.5,,-0.05,0.07,1.0,-3.1,0.5,0.2,0,0,0.0,0,37.478325,-122.203674,0.0,0.0,23.6,10,3,1.5,0,0.0,-1,0.0,0.0,0.0,0
553248,1480295095655,,,,,,,,-0.05,0.07,1.0,-3.0,0.5,0.2,0,0,,,,,,,,,,,,,,,,,
