"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"FuelLevel"|"F"|0.0|100.0|5,"OilTemp"|"F"|0|300|5,"Coolant"|"F"|0|300|5,"OilPress"|"PSI"|0|150|10,"EngineTemp"|"F"|0|300|5,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-300.0|300.0|50,"Pitch"|"Deg/Sec"|-300.0|300.0|50,"Roll"|"Deg/Sec"|-300.0|300.0|50,"RPM"|""|0|10000|50,"Wheel"|"RPM"|0|5000|50,"Latitude"|"Degrees"|-180.0|180.0|50,"Longitude"|"Degrees"|-180.0|180.0|50,"Speed"|"MPH"|0.0|150.0|50,"Distance"|"Miles"|0.0|0.0|50,"Altitude"|"Feet"|0.0|4000.0|50,"GPSSats"|""|0|20|50,"GPSQual"|""|0|5|50,"GPSDOP"|""|0.0|20.0|50,"LapCount"|""|0|0|50,"LapTime"|"Min"|0.0|0.0|50,"Sector"|""|0|0|50,"SectorTime"|"Min"|0.0|0.0|50,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|50,"CurrentLap"|""|0|0|50
52561,1464552252006,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52581,1464552252026,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52601,1464552252046,0.003,60,59,0,60,,0.01,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,0.0,0.0,0
52621,1464552252066,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.1,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52641,1464552252086,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.1,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52661,1464552252106,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.1,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52681,1464552252126,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.1,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52701,1464552252146,,,,0,,,0.01,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52721,1464552252166,,,,,,,0.01,0.08,0.99,-3.1,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
52741,1464552252185,,,,,,,0.01,0.08,0.99,-3.0,-0.2,-0.0,0,0,37.478436,-122.203735,0.0,0.0,82.8,7,2,2.4,0,0.0,-1,0.0,,0.0,0
